﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
spółdzielniom produkcyjnym;ha;—;—;—;—;—;—;—;—;—;—;—;17 200;43 500;36 900;28 800;24 800;7900;7700;10 800;19 800;9700;12 900;14 400;12 978;18 700;14 900;18 509;12 487;23 212;39 948;57 909;40 809;51 036;55 404;40 800;.;7289;5000;4054;4243;5063;8258;7352;4904;.;.;—;—;.;.;.;.;.
kółkom rolniczym;ha;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;35 179;56 119;109 633;108 156;49 324;23 452;15 102;7052;.;1623;1349;837;787;647;959;2064;913;.;.;—;—;.;.;.;.;.
indywidualnym gospodarstwom rolnym;ha;—;—;—;—;—;—;—;—;—;—;—;352 700;112 100;65 400;59 600;48 000;38 600;33 400;37 900;72 700;55 800;55 600;53 200;40 504;46 100;53 500;82 429;90 007;45 003;16 664;21 825;77 710;94 422;113 204;126 646;164 045;240 286;100 923;67 237;53 988;48 895;56 129;59 590;81 060;73 694;55 330;—;—;.;.;.;.;.
na założenie nowego gospodarstwa;ha;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;48 422;24 331;17 547;12 346;10 026;10 466;10 497;19 369;21 435;18 306;—;—;.;.;.;.;.
na powiększenie gospodarstwa;ha;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;186 860;73 952;47 852;39 890;37 331;44 152;47 489;59 598;50 075;24 586;—;—;.;.;.;.;.
na pozostałe cele;ha;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5004;2640;1838;1752;1538;1511;1604;2093;2184;12 438;.;.;.;.;.;.;.
na cele nierolnicze;ha;—;—;—;—;—;—;—;—;—;—;—;—;22 400;67 500;34 500;73 300;61 700;46 700;44 700;35 900;25 300;20 200;18 300;15 700;21 122;15 892;23 385;21 999;24 089;20 958;36 911;45 541;42 877;25 893;28 671;15 200;21 648;23 584;16 882;32 588;45 815;24 728;13 761;12 513;10 928;10 901;—;—;.;.;.;.;.
Grunty Państwowego Funduszu Ziemi (stan w dniu 31 XII);ha;—;—;—;—;—;—;—;—;—;—;—;705 400;866 600;889 200;973 200;920 300;947 200;1 007 500;1 016 900;1 053 500;1 081 900;1 090 500;1 076 900;1 122 200;1 084 700;1 064 500;956 700;861 900;853 700;924 908;917 256;871 436;810 135;769 900;886 300;993 000;858 615;816 405;811 603;790 273;775 051;782 906;806 353;784 484;771 419;797 796;685 685;416 637;.;.;.;.;.
zagospodarowane;ha;—;—;—;—;—;—;—;—;—;—;—;389 500;479 000;528 800;613 100;611 900;618 700;616 000;621 400;673 100;723 100;709 700;735 900;790 900;759 300;768 400;720 800;669 200;683 800;729 784;734 145;707 799;664 135;632 092;693 200;792 000;661 416;624 521;609 268;592 756;579 525;586 124;597 762;575 424;554 325;500 481;403 971;237 356;.;.;.;.;.
przekazane wstępnie;ha;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;49 000;40 500;26 100;15 000;18 900;48 728;29 198;15 493;15 900;15 804;.;.;.;.;.;11 990;.;.;.;.;.;.;.;.;.;.;.;.;.
wydzierżawione;ha;—;—;—;—;—;—;—;—;—;—;—;389 500;479 000;528 800;613 100;611 900;618 700;616 000;621 400;673 100;723 100;709 700;735 900;733 300;710 300;727 900;694 700;654 200;664 900;681 056;704 947;692 306;648 235;485 684;504 800;590 000;488 237;454 701;445 083;436 657;424 125;426 400;434 644;418 685;398 462;355 767;288 564;161 644;.;.;.;.;.
indywidualnym gospodarstwom rolnym;ha;—;—;—;—;—;—;—;—;—;—;—;294 100;343 700;387 300;524 000;485 900;481 900;470 700;473 900;521 700;567 600;567 800;606 700;613 400;610 900;647 300;642 200;602 600;604 200;587 038;603 020;586 781;542 139;471 620;484 000;572 000;476 448;441 006;431 244;422 553;413 646;417 672;413 994;392 929;370 298;326 193;265 955;147 719;.;.;.;.;.
pozostałym jednostkom;ha;—;—;—;—;—;—;—;—;—;—;—;95 400;135 300;141 500;89 100;126 000;136 800;145 300;147 500;151 400;155 500;141 900;129 200;119 900;99 400;80 600;52 500;51 600;60 700;94 018;101 927;105 525;106 096;14 064;20 800;18 000;11 789;13 695;13 839;14 104;10 479;8728;20 650;25 756;28 164;29 574;22 609;13 925;.;.;.;.;.
pozostałe grunty w bezpośredniej administracji Państwowego Funduszu Ziemi;ha;—;—;—;—;—;—;—;—;—;—;—;315 900;387 600;360 400;360 100;308 400;328 500;391 500;395 500;380 400;358 800;380 800;341 000;331 300;325 400;296 100;235 900;192 700;169 900;195 124;183 111;163 637;146 000;137 808;193 100;201 000;197 199;191 884;202 335;197 517;195 526;196 782;208 591;209 060;217 094;297 315;281 714;179 281;.;.;.;.;.
pozostałe lasy, grunty leśne i przeznaczone do zalesienia w bezpośredniej administracji Państwowego Funduszu Ziemi;ha;—;—;—;—;—;—;—;—;—;—;—;.;104 305;68 659;73 787;61 180;72 263;84 079;83 863;82 880;87 662;103 485;101 800;158 491;151 271;149 407;143 156;143 986;135 086;156 425;155 007;144 964;126 725;124 360;155 895;171 853;173 832;168 456;175 196;166 478;155 394;149 837;102 784;95 934;93 069;97 543;87 792;67 373;.;.;.;.;.
pozostałe inne grunty (odłogi, ugory, grunty pod wodami, drogi, użytki kopalne) w bezpośredniej administracji Państwowego Funduszu Ziemi;ha;—;—;—;—;—;—;—;—;—;—;—;.;283 295;291 741;286 313;247 220;256 237;307 421;311 637;297 520;271 138;277 315;239 200;172 809;174 129;146 693;92 744;48 714;34 814;38 699;28 104;18 673;19 275;13 448;37 205;29 147;23 367;23 428;27 139;31 039;40 132;46 945;105 807;113 126;124 025;199 772;193 922;111 908;.;.;.;.;.
Indywidualne gospodarstwa rolne przekazane państwu za emeryturę lub rentę oraz następcom;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;70 429;115 485;146 644;57 679;43 985;29 302;51 782;53 654;72 532;83 781;73 806;98 414;123 807;69 628;43 215;40 784;70 176;63 116;53 328;56 205;49 702;.
za emeryturę lub rentę;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;2552;2956;4567;6678;6819;6894;6439;7602;23 012;43 773;38 366;24 587;30 606;34 613;27 650;7572;5240;6386;9017;10 456;15 405;19 046;17 720;12 388;7259;2353;1133;243;474;518;286;246;225;.
przekazane następcom;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;39 823;80 872;118 994;50 107;38 745;22 916;42 765;43 198;57 127;64 735;56 086;86 026;116 548;67 275;42 082;40 541;69 702;62 598;53 042;55 959;49 477;.
Powierzchnia ogólna indywidualnych gospodarstw rolnych przekazanych państwu za emeryturę lub rentę oraz następcom;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;405 712;626 099;831 617;347 277;287 095;206 902;367 044;379 448;497 052;568 684;500 245;566 251;814 295;468 542;290 704;253 356;.;.;.;.;.
za emeryturę lub rentę;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;22 197;25 449;41 555;60 244;63 119;61 548;54 360;64 708;173 660;314 602;251 699;158 372;130 552;153 789;127 009;32 351;24 491;32 558;47 524;55 336;80 018;95 486;90 184;54 373;32 726;13 378;6244;753;.;.;.;.;.
następcom;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;275 160;472 310;704 608;314 926;262 604;174 344;319 520;324 112;417 034;473 198;410 061;511 878;781 569;455 164;284 460;252 603;.;.;.;.;.
Państwowe gospodarstwa rolne (stan w czerwcu);szt.;56 503;.;.;5679;5883;5588;6137;10 475;10 185;10 556;9479;8405;8039;7876;8321;8611;8496;8450;8828;8634;8563;8099;8376;7716;7794;7606;7178;7012;6723;6126;5587;4608;4490;3661;4233;2498;2388;2457;2629;2648;2644;2619;2251;2260;.;.;.;.;.;.;.;.;.
Spółdzielnie produkcyjne;szt.;—;—;243;2199;3056;4478;7772;9322;9790;10 510;1803;1838;1932;2072;1884;1558;1367;1291;1268;1225;1146;1123;1106;1106;1061;1058;1064;1051;1216;1492;1719;2060;2299;2399;2388;2359;2363;2342;2340;2275;2222;2207;2177;2240;2063;.;.;.;.;.;.;.;.
Kółka rolnicze (stan w czerwcu);szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;2696;3627;4081;4339;4368;4350;4073;3651;3316;3312;3426;3508;3470;3635;1989;1999;1818;1787;1456;889;589;511;330;392;447;420;396;281;173;131;155;.;.;.;.;.;.;.;.
Indywidualne gospodarstwa rolne (stan w czerwcu);szt.;.;.;.;2 968 800;.;.;.;2 874 800;.;.;3 338 800;3 424 500;.;3 238 300;.;.;.;3 381 100;3 383 800;3 397 200;3 391 300;3 383 300;3 365 400;3 224 200;3 225 400;3 218 900;3 191 500;3 207 500;3 087 160;3 146 165;3 099 922;3 065 443;2 944 812;2 390 200;2 359 700;2 338 300;2 335 300;2 332 200;2 296 300;2 260 400;2 235 200;2 167 573;2 143 201;2 137 517;2 137 696;2 143 746;2 148 752;2 029 817;2 047 553;2 041 380;2 008 337;.;.
o powierzchni użytków rolnych 1,01 - 1,99 ha;szt.;.;.;.;621 600;.;.;.;673 200;.;.;826 900;869 300;.;825 600;.;.;.;971 700;971 900;983 800;985 200;980 100;972 700;868 300;888 800;893 300;873 700;909 600;857 885;923 061;931 148;934 510;879 024;448 200;444 200;437 800;440 000;442 100;431 700;421 300;417 600;405 839;384 100;378 269;377 207;381 095;383 605;440 513;428 800;462 206;439 228;.;.
o powierzchni użytków rolnych 2,00 - 4,99 ha;szt.;.;.;.;991 800;.;.;.;1 028 000;.;.;1 181 200;1 211 700;.;1 092 300;.;.;.;1 115 200;1 113 500;1 107 600;1 102 200;1 091 400;1 079 200;1 030 200;1 014 400;1 005 000;1 005 000;995 300;958 183;970 613;945 024;924 984;879 191;883 500;865 400;847 400;839 500;831 500;814 400;797 300;777 600;752 983;749 198;750 813;753 722;756 729;758 929;663 200;690 286;667 588;691 026;.;.
o powierzchni użytków rolnych 5,00 - 6,99 ha;szt.;.;.;.;477 500;.;.;.;461 600;.;.;510 800;514 400;.;475 100;.;.;.;475 100;472 400;472 800;468 500;467 800;466 100;463 600;458 300;453 700;449 000;441 700;425 513;418 429;405 175;394 857;381 043;366 400;358 300;352 900;350 600;348 300;340 200;332 000;329 900;319 262;318 498;318 410;317 891;317 745;317 807;270 553;273 248;260 713;254 983;.;.
o powierzchni użytków rolnych 7,00 - 9,99 ha;szt.;.;.;.;499 000;.;.;.;420 300;.;.;469 500;470 000;.;460 900;.;.;.;449 300;451 700;452 400;452 100;453 900;454 300;455 400;452 400;449 300;443 800;436 700;421 578;410 596;397 846;390 884;382 833;350 300;344 200;341 600;340 800;340 000;335 200;330 400;327 500;317 170;318 502;317 930;317 303;317 080;317 189;272 838;271 928;260 103;248 094;.;.
o powierzchni użytków rolnych 10,00 - 14,99 ha;szt.;.;.;.;246 300;.;.;.;193 000;.;.;237 100;241 700;.;282 300;.;.;.;369 800;374 300;380 600;383 300;390 100;393 100;316 200;411 500;417 600;420 000;424 200;424 001;291 231;286 309;283 494;282 543;239 700;239 900;243 700;246 100;248 500;248 800;249 100;249 300;242 571;242 900;241 989;241 690;241 410;241 467;224 008;219 465;217 202;206 182;.;.
o powierzchni użytków rolnych 15,00 ha i więcej;szt.;.;.;.;132 600;.;.;.;98 700;.;.;113 300;117 400;.;102 100;.;.;.;.;.;.;.;.;.;90 500;.;.;.;.;.;132 235;134 420;136 714;140 178;102 100;107 700;114 900;118 300;121 800;126 000;130 300;133 300;129 748;130 003;130 106;129 883;129 687;129 755;158 705;163 826;173 568;168 824;.;.
