﻿Wskaźnik;Jednostka;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997
gospodarstwa 2-osobowe;zł;0,22;0,22;0,24;0,24;0,26;0,26;0,27;0,28;0,3;0,27;0,28;0,3;0,31;0,31;0,36;.;0,4;0,46;0,52;0,57;.;0,71;0,79;0,87;1,11;1,78;2,46;2,66;3,2;3,76;4,68;8,19;30,43;153,85;265,83;395,87;.;.;.;.;.
gospodarstwa 3-osobowe;zł;0,27;0,27;0,29;0,3;0,32;0,33;0,33;0,35;0,37;0,34;0,36;0,38;0,39;0,41;0,46;.;0,53;0,61;0,69;0,74;.;0,87;0,97;1,09;1,38;2,17;3,04;3,41;3,9;4,59;5,61;9,99;38,26;182,33;314,9;476,86;.;.;.;.;.
gospodarstwa 4-osobowe;zł;0,29;0,3;0,33;0,33;0,34;0,36;0,35;0,37;0,4;0,38;0,39;0,42;0,45;0,46;0,51;.;0,58;0,66;0,74;0,81;.;0,94;1,05;1,17;1,48;2,39;3,32;3,54;4,13;4,95;6;10,95;42,29;194,81;331,55;483,56;.;.;.;.;.
gospodarstwa 5-osobowe;zł;0,34;0,33;0,34;0,35;0,37;0,38;0,38;0,39;0,41;0,4;0,42;0,44;0,47;0,5;0,55;.;0,62;0,7;0,8;0,84;.;1;1,08;1,17;1,48;2,53;3,59;3,68;4,31;5,06;6,35;11,59;43,9;202,1;352,65;507,25;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;0,36;0,34;0,37;0,38;0,41;0,4;0,4;0,42;0,46;0,43;0,44;0,47;0,51;0,49;0,56;.;0,66;0,75;0,81;0,91;.;1,13;1,22;1,32;1,73;3,2;4,13;4,39;4,9;5,48;6,98;13,14;49,13;227,05;389,49;544,77;.;.;.;.;.
Przeciętne miesięczne dochody pracowników na stanowiskach nierobotniczych w 1 gospodarstwie domowym pracowników;zł;0,31;0,3;0,32;0,35;0,37;0,39;0,39;0,41;0,42;0,4;0,41;0,43;0,44;0,45;0,51;.;0,63;0,7;0,76;0,82;.;0,99;1,08;1,18;1,43;2,25;3,3;3,5;4,09;4,87;6;10,63;42,36;215,78;383,55;557,76;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;0,19;0,2;0,21;0,21;0,21;0,22;0,22;0,24;0,23;0,22;0,24;0,23;0,25;0,27;.;0,33;0,38;0,4;0,43;.;0,52;0,57;0,6;0,77;1,15;1,67;1,75;2,14;2,57;3,22;5,87;22,73;121,61;205,3;311,69;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;0,27;0,3;0,3;0,32;0,35;0,34;0,35;0,37;0,33;0,36;0,38;0,4;0,4;0,43;.;0,52;0,55;0,6;0,63;.;0,81;0,89;1;1,2;1,82;2,71;2,9;3,4;4,06;5,02;8,96;35,72;185,48;340,32;491,14;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;0,31;0,32;0,35;0,39;0,42;0,41;0,42;0,44;0,44;0,46;0,47;0,49;0,52;0,55;.;0,65;0,74;0,79;0,85;.;1,02;1,15;1,24;1,47;2,28;3,3;3,57;4,19;5,08;6,1;10,98;43,8;224,89;395,77;597,1;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;0,32;0,34;0,39;0,41;0,42;0,43;0,45;0,48;0,49;0,5;0,53;0,55;0,54;0,62;.;0,71;0,81;0,89;0,97;.;1,13;1,21;1,33;1,62;2,58;3,74;3,92;4,63;5,54;6,68;11,95;48,76;239,41;422,75;610,71;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;0,35;0,35;0,43;0,44;0,46;0,44;0,48;0,49;0,49;0,51;0,53;0,57;0,58;0,62;.;0,76;0,86;0,91;0,99;.;1,14;1,27;1,36;1,67;2,89;4,04;4,23;4,97;5,78;7,16;12,8;51,34;253,71;426,08;628,18;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;0,36;0,43;0,4;0,46;0,48;0,47;0,47;0,54;0,54;0,51;0,55;0,55;0,55;0,79;.;0,8;0,93;0,99;1,06;.;1,26;1,25;1,41;1,74;3,09;4,4;4,61;2,06;6,46;8,56;14,59;57,52;295,74;503,39;660,62;.;.;.;.;.
Przeciętne miesięczne dochody na 1 gospodarstwo domowe pracowników użytkujących gospodarstwo rolne;zł;.;.;.;.;.;.;.;.;.;.;5,03;.;.;.;.;.;0,62;0,7;0,76;0,84;.;1,03;1,15;1,24;1,67;2,88;3,74;4,47;5,25;6,28;7,66;14,39;55,53;270,7;439,04;627,4;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;3,85;.;.;.;.;.;0,45;0,52;0,55;0,61;.;0,76;0,86;0,87;1,25;.;2,6;3,22;3,79;4,37;5,41;9,8;37,6;191,77;312,31;461,84;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;4,76;.;.;.;.;.;0,53;0,62;0,68;0,76;.;0,86;1,01;1,15;1,46;2,56;3,29;3,73;4,38;5,38;6,86;12,29;47,53;233,41;372,76;556,93;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;5,03;.;.;.;.;.;0,61;0,66;0,76;0,81;.;1,01;1,12;1,22;1,59;2,65;3,53;4,47;5,06;6,28;7,34;13,98;54,09;259,44;422,25;568,61;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;5,06;.;.;.;.;.;0,66;0,74;0,79;0,88;.;1,09;1,17;1,22;1,75;3,01;3,88;4,62;5,23;6,5;8,03;15,04;58,94;288,42;437,63;644,35;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;5,35;.;.;.;.;.;0,72;0,8;0,88;0,98;.;1,17;1,36;1,48;1,99;3,56;4,55;5,33;6,49;7,44;9,17;17,69;68,74;323,25;524,93;732,7;.;.;.;.;.
Przeciętne miesięczne dochody na 1 gospodarstwo domowe rolników;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,51;0,55;0,6;0,67;.;0,94;1,03;1,1;1,59;2,5;3,18;3,75;4,42;5,23;6,35;12,6;48,52;210,13;310,6;462,27;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,19;0,19;0,18;0,21;.;0,32;0,3;0,35;0,51;0,9;1,27;1,38;1,46;2,18;2,5;4,99;17,64;89,48;126,08;188,75;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,35;0,4;0,41;0,46;.;0,62;0,68;0,76;1;1,74;2,28;2,62;3,24;3,8;4,5;8,72;32,83;150,27;218,3;313,06;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,5;0,53;0,6;0,68;.;0,94;1,03;1,09;1,49;2,35;3,01;3,42;4,1;5,09;6,29;11,95;47,15;204,12;288,97;440,63;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,63;0,65;0,71;0,83;.;0,96;1,1;1,21;1,9;2,79;3,47;4,33;4,92;6,04;7,59;14,72;55,29;241,48;355,99;477,31;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,65;0,73;0,79;0,86;.;1,18;1,29;1,38;1,92;3,06;3,85;4,21;5,4;6,37;8,13;16,15;60,72;244,72;367,65;566,6;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,71;0,79;0,9;1,01;.;1,24;1,45;1,5;2,41;3,76;4,73;5,58;6,32;7,65;9,08;17,94;71,32;299,44;418,76;590,32;.;.;.;.;.
Przeciętne miesięczne dochody na 1 gospodarstwo domowe emerytów i rencistów;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,22;0,24;0,26;0,28;.;0,39;0,44;0,47;0,57;0,97;1,19;1,51;1,74;2,12;2,84;4,58;15,46;89,8;181,61;258,23;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,14;0,16;0,17;0,18;.;0,24;0,28;0,29;0,36;0,61;0,69;0,84;1,01;1,23;1,66;2,74;9,4;54,51;104,59;147,67;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,25;0,27;0,3;0,33;.;0,44;0,49;0,53;0,65;1,14;1,32;1,72;1,96;2,44;3,27;5,27;17,37;104,08;206,64;297,69;.;.;.;.;.
gospodarstwa 3-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,41;0,46;0,49;0,53;.;0,67;0,77;0,85;1,01;1,7;2;2,48;2,84;3,56;4,57;7,46;25,63;144,07;284,26;359,76;.;.;.;.;.
Przeciętne miesięczne dochody na 1 osobę w gospodarstwie domowym pracowników;zł;0,08;0,08;0,09;0,09;0,1;0,1;0,1;0,11;0,11;0,11;0,12;0,13;0,13;0,14;0,15;.;0,16;0,19;0,21;0,23;.;0,27;0,3;0,33;0,41;0,66;0,82;0,98;1,14;1,36;1,65;2,98;11,6;56,3;97,9;142,83;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;0,17;0,19;0,18;0,19;0,19;0,2;0,21;0,21;0,21;0,21;0,23;0,23;0,24;0,25;.;0,3;0,35;0,37;0,4;.;0,49;0,54;0,58;0,73;1,12;1,36;1,67;2,07;2,42;3,02;5,46;20,95;109,16;184,16;280,49;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;0,11;0,13;0,12;0,13;0,14;0,15;0,15;0,16;0,15;0,16;0,17;0,18;0,18;0,2;.;0,23;0,25;0,28;0,3;.;0,38;0,42;0,47;0,58;0,9;1,14;1,39;1,65;1,95;2,42;4,27;16,42;84,46;151,07;220,8;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;0,09;0,1;0,1;0,11;0,12;0,12;0,13;0,13;0,13;0,14;0,14;0,15;0,15;0,17;.;0,19;0,22;0,25;0,26;.;0,31;0,35;0,38;0,47;0,74;0,93;1,16;1,34;1,6;1,93;3,46;13,5;66,91;117,21;177,05;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;0,08;0,08;0,09;0,09;0,09;0,1;0,1;0,11;0,11;0,11;0,12;0,12;0,13;0,14;.;0,16;0,18;0,2;0,22;.;0,25;0,28;0,31;0,38;0,62;0,77;0,92;1,07;1,29;1,56;2,82;11,12;52,76;91,72;132,59;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;0,07;0,07;0,07;0,08;0,08;0,08;0,08;0,09;0,09;0,09;0,09;0,1;0,11;0,11;.;0,13;0,15;0,17;0,18;.;0,21;0,23;0,24;0,31;0,53;0,66;0,77;0,9;1,05;1,31;2,38;9,15;43,11;75,13;108,24;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;0,05;0,06;0,06;0,06;0,06;0,06;0,07;0,07;0,07;0,08;0,08;0,09;0,08;0,1;.;0,11;0,12;0,13;0,15;.;0,18;0,19;0,21;0,27;0,5;0,59;0,68;0,78;0,92;1,12;2,05;7,76;37,27;64,02;86,53;.;.;.;.;.
z pracy;zł;0,07;0,07;0,07;0,08;0,08;0,08;0,09;0,09;0,1;0,1;0,11;0,11;0,12;0,12;0,13;.;0,14;0,16;0,18;0,2;.;0,24;0,26;0,29;0,36;0,52;0,66;0,8;0,94;1,13;1,39;2,47;9,52;46,55;78,6;117,24;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;0,15;0,17;0,16;0,17;0,18;0,18;0,19;0,19;0,2;0,2;0,21;0,22;0,22;0,24;.;0,28;0,33;0,34;0,37;.;0,45;0,5;0,54;0,69;1,05;1,3;1,6;1,94;2,31;2,86;5,21;20,11;103,95;174,88;270,76;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;0,1;0,11;0,11;0,12;0,12;0,13;0,13;0,14;0,13;0,14;0,15;0,16;0,16;0,17;.;0,19;0,21;0,23;0,26;.;0,32;0,35;0,39;0,49;0,72;0,95;1,15;1,37;1,62;2,01;3,58;13,67;69,53;120,47;178,91;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;0,08;0,09;0,09;0,09;0,1;0,1;0,11;0,11;0,12;0,12;0,13;0,13;0,14;0,15;.;0,17;0,2;0,22;0,23;.;0,28;0,31;0,34;0,42;0,61;0,78;0,99;1,14;1,38;1,67;3;11,46;56,72;96,92;149,78;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;0,06;0,07;0,07;0,07;0,08;0,08;0,09;0,09;0,09;0,1;0,1;0,11;0,11;0,12;.;0,14;0,16;0,18;0,19;.;0,23;0,25;0,27;0,34;0,49;0,63;0,76;0,9;1,1;1,34;2,4;9,26;44,52;75,36;110,84;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;0,05;0,06;0,06;0,06;0,06;0,07;0,07;0,07;0,08;0,08;0,08;0,09;0,09;0,1;.;0,11;0,13;0,14;0,15;.;0,18;0,19;0,21;0,26;0,39;0,5;0,58;0,7;0,83;1,05;1,84;7,03;33,88;56,9;84,16;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;0,04;0,04;0,05;0,05;0,05;0,05;0,05;0,06;0,06;0,06;0,07;0,07;0,07;0,08;.;0,08;0,09;0,1;0,11;.;0,15;0,16;0,17;0,22;0,33;0,41;0,49;0,55;0,66;0,81;1,4;5,42;26,49;43,27;60,78;.;.;.;.;.
ze świadczeń społecznych;zł;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,02;0,02;0,02;0,02;.;0,02;0,03;0,03;0,04;0,12;0,13;0,14;0,16;0,18;0,21;0,4;1,64;7,7;16,21;21,79;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;0,01;0;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,02;.;0,02;0,03;0,03;0,03;0,05;0,03;0,04;0,06;0,06;0,08;0,14;0,44;2,98;5,47;6,28;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;.;0,03;0,03;0,03;0,04;.;0,04;0,05;0,06;0,07;0,15;0,16;0,19;0,22;0,28;0,33;0,57;2,24;12,7;26,69;37,16;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,02;0,02;0,02;0,02;.;0,03;0,03;0,03;0,04;0,11;0,13;0,14;0,16;0,18;0,21;0,36;1,57;8,13;16,93;22,8;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,01;0,02;0,02;0,02;.;0,02;0,02;0,02;0,03;0,11;0,12;0,13;0,14;0,15;0,17;0,33;1,46;6,4;13,49;18,33;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,02;0,02;0,02;0,02;.;0,02;0,03;0,03;0,04;0,12;0,13;0,15;0,16;0,18;0,2;0,44;1,68;7,21;15,53;20,73;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;.;0,02;0,02;0,02;0,03;.;0,02;0,03;0,03;0,04;0,14;0,15;0,16;0,18;0,2;0,24;0,53;1,88;8,07;17,5;21,99;.;.;.;.;.
pozostałe;zł;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,02;0,03;0,03;0,04;0,04;0,05;0,1;0,44;2,06;3,09;3,8;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;.;0,02;0,01;0,01;0,01;0,02;0,03;0,03;0,06;0,05;0,09;0,11;0,4;2,23;3,81;3,45;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,02;0,01;0,02;0,04;0,04;0,05;0,05;0,07;0,11;0,52;2,23;3,91;4,72;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,02;0,02;0,03;0,04;0,04;0,05;0,1;0,47;2,06;3,36;4,47;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,02;0,02;0,03;0,04;0,04;0,05;0,1;0,4;1,84;2,87;3,42;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;0;0;0;0;0;0;0,01;0,01;0;0;0;0;0;0;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,02;0,03;0,03;0,04;0,04;0,06;0,11;0,43;2,01;2,69;3,35;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,03;0,03;0,04;0,05;0,06;0,06;0,13;0,46;2,71;3,25;3,76;.;.;.;.;.
Przeciętne miesięczne dochody na 1 osobę w gospodarstwie domowym pracowników na stanowiskach robotniczych;zł;0,08;0,08;0,09;0,09;0,09;0,1;0,09;0,1;0,1;0,1;0,11;0,11;0,12;0,12;0,14;.;0,15;0,17;0,19;0,2;.;0,25;0,27;0,3;0,38;0,62;0,77;0,92;1,07;1,26;1,54;2,8;10,65;50,06;85,79;125,35;.;.;.;.;.
gospodarstwa 1-osobowe;zł;0,15;0,16;0,18;0,18;0,19;0,19;0,19;0,2;0,2;0,2;0,2;0,22;0,23;0,23;0,24;.;0,26;0,29;0,3;0,34;.;0,4;0,46;0,52;0,64;1,01;1,46;1,53;1,95;2,19;2,7;4,83;18,07;92,55;148,24;224,57;.;.;.;.;.
gospodarstwa 2-osobowe;zł;0,11;0,11;0,12;0,12;0,13;0,13;0,14;0,14;0,15;0,14;0,14;0,15;0,16;0,16;0,18;.;0,2;0,23;0,26;0,29;.;0,36;0,39;0,43;0,56;0,89;1,23;1,33;1,6;1,88;2,34;4,09;15,22;76,93;132,91;197,93;.;.;.;.;.
gospodarstwa 3-osobowe;zł;0,09;0,09;0,1;0,1;0,11;0,11;0,11;0,12;0,12;0,11;0,12;0,13;0,13;0,14;0,15;.;0,18;0,2;0,23;0,25;.;0,29;0,32;0,36;0,46;0,72;1,01;1,14;1,3;1,53;1,87;3,33;12,75;60,78;104,97;158,95;.;.;.;.;.
gospodarstwa 4-osobowe;zł;0,07;0,07;0,08;0,08;0,09;0,09;0,09;0,09;0,1;0,09;0,1;0,11;0,11;0,12;0,13;.;0,15;0,17;0,19;0,2;.;0,23;0,26;0,29;0,37;0,6;0,83;0,89;1,03;1,24;1,5;2,74;10,57;48,7;82,89;120,89;.;.;.;.;.
gospodarstwa 5-osobowe;zł;0,07;0,07;0,07;0,07;0,07;0,08;0,08;0,08;0,08;0,08;0,08;0,09;0,09;0,1;0,11;.;0,12;0,14;0,16;0,17;.;0,2;0,22;0,23;0,3;0,51;0,72;0,74;0,86;1,01;1,27;2,32;8,78;40,42;70,53;101,45;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;0,06;0,05;0,06;0,06;0,06;0,06;0,06;0,06;0,07;0,07;0,07;0,07;0,08;0,08;0,09;.;0,1;0,12;0,12;0,14;.;0,18;0,19;0,21;0,27;0,49;0,63;0,68;0,75;0,89;1,06;2,01;7,51;34,98;60,11;81,92;.;.;.;.;.
z pracy;zł;0,07;0,07;0,07;0,07;0,08;0,08;0,08;0,08;0,09;0,08;0,09;0,1;0,1;0,11;0,12;.;0,12;0,14;0,16;0,17;.;0,22;0,24;0,26;0,34;0,48;0,62;0,75;0,88;1,05;1,29;2,3;8,61;40,72;67,41;101,11;.;.;.;.;.
gospodarstwa 1-osobowe;zł;0,14;0,15;0,17;0,16;0,17;0,17;0,17;0,18;0,18;0,19;0,19;0,21;0,22;0,22;0,22;.;0,24;0,27;0,27;0,31;.;0,37;0,44;0,48;0,6;0,94;1,18;1,47;1,8;2,06;2,57;4,59;17,33;87,38;138,84;213,22;.;.;.;.;.
gospodarstwa 2-osobowe;zł;0,09;0,1;0,11;0,11;0,11;0,11;0,12;0,12;0,13;0,12;0,12;0,13;0,13;0,13;0,16;.;0,17;0,19;0,22;0,24;.;0,31;0,33;0,37;0,48;0,71;0,93;1,1;1,31;1,56;1,97;3,43;12,66;62,3;105,24;160,28;.;.;.;.;.
gospodarstwa 3-osobowe;zł;0,08;0,08;0,09;0,09;0,09;0,09;0,09;0,1;0,1;0,1;0,1;0,11;0,11;0,12;0,14;.;0,15;0,18;0,2;0,22;.;0,26;0,29;0,33;0,42;0,6;0,76;0,97;1,11;1,32;1,61;2,88;10,74;51,17;85,68;133,35;.;.;.;.;.
gospodarstwa 4-osobowe;zł;0,06;0,06;0,07;0,07;0,07;0,08;0,07;0,08;0,08;0,08;0,08;0,09;0,1;0,1;0,11;.;0,13;0,14;0,16;0,18;.;0,21;0,23;0,26;0,33;0,47;0,61;0,73;0,86;1,05;1,29;2,32;8,74;40,64;67,08;99,97;.;.;.;.;.
gospodarstwa 5-osobowe;zł;0,06;0,05;0,05;0,06;0,06;0,06;0,06;0,06;0,07;0,07;0,07;0,07;0,08;0,08;0,09;.;0,1;0,12;0,13;0,14;.;0,17;0,18;0,2;0,25;0,37;0,49;0,56;0,66;0,8;1,02;1,78;6,73;31,66;52,38;77,6;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;0,04;0,04;0,04;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,06;0,06;0,06;0,07;.;0,08;0,09;0,09;0,11;.;0,15;0,15;0,17;0,21;0,32;0,41;0,48;0,53;0,64;0,77;1,36;5,16;24,62;40,45;56,77;.;.;.;.;.
ze świadczeń społecznych;zł;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,02;0,02;0,02;0,02;.;0,02;0,03;0,03;0,04;0,12;0,13;0,14;0,15;0,17;0,2;0,4;1,61;7,34;15,52;20,7;.;.;.;.;.
gospodarstwa 1-osobowe;zł;0;0,01;0;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,01;0,01;0,02;0,02;.;0,01;0,01;0,03;0,03;0,05;0,01;0,03;0,04;0,04;0,06;0,14;0,37;2,83;5,37;5,66;.;.;.;.;.
gospodarstwa 2-osobowe;zł;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;.;0,03;0,03;0,03;0,04;.;0,04;0,05;0,05;0,07;0,15;0,15;0,19;0,22;0,26;0,31;0,54;2,06;12,28;23,81;32,48;.;.;.;.;.
gospodarstwa 3-osobowe;zł;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,02;0,02;0,02;0,02;.;0,02;0,03;0,03;0,03;0,1;0,12;0,13;0,15;0,17;0,2;0,35;1,52;7,73;16,09;22,4;.;.;.;.;.
gospodarstwa 4-osobowe;zł;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,01;0,02;0,02;0,02;.;0,02;0,02;0,02;0,03;0,11;0,12;0,13;0,13;0,14;0,16;0,32;1,45;6,24;13,36;17,62;.;.;.;.;.
gospodarstwa 5-osobowe;zł;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,02;0,02;0,02;0,02;.;0,02;0,03;0,03;0,03;0,12;0,13;0,15;0,16;0,17;0,19;0,43;1,65;6,9;15,5;20,49;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,02;0,02;0,02;0,02;.;0,02;0,03;0,03;0,04;0,14;0,15;0,16;0,17;0,2;0,23;0,53;1,89;7,82;16,51;21,21;.;.;.;.;.
pozostałe;zł;0;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,02;0,03;0,03;0,04;0,05;0,06;0,1;0,42;2;2,85;3,54;.;.;.;.;.
gospodarstwa 1-osobowe;zł;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,02;.;0,01;0,01;0,02;0,02;0,01;0,27;0,03;0,11;0,08;0,08;0,1;0,37;2,35;4,04;5,68;.;.;.;.;.
gospodarstwa 2-osobowe;zł;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,03;0,15;0,04;0,06;0,05;0,07;0,12;0,49;2,35;3,86;5,17;.;.;.;.;.
gospodarstwa 3-osobowe;zł;0;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,02;0,13;0,03;0,04;0,05;0,05;0,1;0,5;1,88;3,19;3,21;.;.;.;.;.
gospodarstwa 4-osobowe;zł;0;0,01;0;0;0,01;0,01;0;0,01;0,01;0;0;0;0;0;0;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,02;0,11;0,03;0,04;0,04;0,05;0,1;0,38;1,82;2,45;3,3;.;.;.;.;.
gospodarstwa 5-osobowe;zł;0;0;0;0;0;0;0;0,01;0,01;0;0;0;0;0;0;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,02;0,1;0,03;0,04;0,04;0,06;0,1;0,4;1,86;2,65;3,36;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,03;0,08;0,04;0,05;0,06;0,07;0,12;0,46;2,55;3,15;3,94;.;.;.;.;.
Przeciętne miesięczne dochody na 1 osobę w gospodarstwie domowym pracowników na stanowiskach nierobotniczych;zł;0,09;0,09;0,1;0,11;0,11;0,12;0,12;0,12;0,13;0,13;0,14;0,15;0,15;0,16;0,17;.;0,2;0,22;0,24;0,26;.;0,31;0,34;0,37;0,45;0,71;0,9;1,09;1,28;1,54;1,87;3,34;13,49;67,64;117,65;173,22;.;.;.;.;.
