﻿Wskaźnik;Jednostka;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997
gospodarstwa 2-osobowe;zł;0,21;0,21;0,23;0,24;0,25;0,26;0,26;0,27;0,29;0,26;0,27;0,28;0,3;0,3;0,34;.;0,36;0,42;0,47;0,52;.;0,66;0,72;0,8;0,98;.;1,91;2,31;2,72;3,15;3,96;6,51;23,06;124,83;225,02;325,44;439,4;592,76;718,12;929,62;1118,56
gospodarstwa 3-osobowe;zł;0,25;0,26;0,28;0,3;0,31;0,32;0,31;0,33;0,35;0,33;0,34;0,36;0,38;0,39;0,42;.;0,47;0,55;0,62;0,68;.;0,84;0,91;1,02;1,26;.;2,47;2,94;3,33;3,94;4,94;8,51;30,66;157,07;278,02;398,64;526,52;678,12;865,79;1106,96;1282,32
gospodarstwa 4-osobowe;zł;0,28;0,28;0,31;0,33;0,33;0,35;0,34;0,36;0,38;0,37;0,38;0,4;0,43;0,45;0,47;.;0,52;0,61;0,68;0,74;.;0,91;0,99;1,13;1,37;.;2,71;3,24;3,66;4,33;5,39;9,38;33,93;171,42;300,76;423,12;558,64;729,64;924,43;1151,03;1374,45
gospodarstwa 5-osobowe;zł;0,33;0,3;0,32;0,34;0,36;0,37;0,36;0,37;0,39;0,39;0,4;0,42;0,44;0,47;0,51;.;0,56;0,65;0,73;0,78;.;0,97;1,01;1,14;1,39;.;2,89;3,32;3,86;4,47;5,56;9,69;34,98;178,92;310,3;433,6;566,87;741,55;966,75;1211,34;1397,43
gospodarstwa 6-osobowe i większe;zł;0,34;0,32;0,36;0,37;0,4;0,39;0,39;0,41;0,43;0,41;0,43;0,45;0,48;0,47;0,52;.;0,6;0,69;0,74;0,84;.;1,05;1,16;1,25;1,6;.;3,23;3,78;4,3;4,98;6,03;10,62;37,27;191,93;341,82;445,84;641,78;796,05;993,12;1264,13;1479,72
Przeciętne miesięczne wydatki na 1 gospodarstwo domowe pracowników na stanowiskach nierobotniczych;zł;0,3;0,28;0,31;0,34;0,37;0,38;0,37;0,38;0,48;0,37;0,39;0,41;0,42;0,44;0,48;.;0,58;0,65;0,71;0,77;.;0,97;1,08;1,17;1,38;2,27;2,76;3,31;3,78;4,5;5,72;9,63;34,97;188,36;349,81;490,47;703,97;910,5;1131,92;1492,43;1804,35
gospodarstwa 1-osobowe;zł;.;0,17;0,19;0,19;0,19;0,2;0,21;0,21;0,22;0,21;0,21;0,22;0,23;0,23;0,25;.;0,3;0,34;0,36;0,39;.;0,52;0,58;0,61;0,81;.;1,4;1,77;2,12;2,5;3,27;5,48;19,73;107,12;195,96;284,56;410,83;558,39;689,06;988,28;1199,46
gospodarstwa 2-osobowe;zł;.;0,24;0,28;0,29;0,31;0,33;0,32;0,33;0,35;0,31;0,33;0,36;0,37;0,38;0,41;.;0,48;0,51;0,56;0,6;.;0,79;0,86;0,98;1,14;.;2,25;2,68;3,07;3,73;4,68;7,93;29,38;153,9;298,12;425,16;630,26;821,08;1004,03;1368,2;1682,38
gospodarstwa 3-osobowe;zł;.;0,29;0,31;0,34;0,38;0,41;0,39;0,4;0,42;0,41;0,43;0,44;0,47;0,51;0,5;.;0,61;0,68;0,74;0,79;.;1;1,15;1,2;1,4;.;2,78;3,34;3,91;4,67;5,87;10,05;37,07;192,17;355,8;515,78;717,62;942,36;1210,47;1490,43;1841,86
gospodarstwa 4-osobowe;zł;.;0,3;0,33;0,39;0,4;0,41;0,41;0,43;0,45;0,46;0,48;0,51;0,53;0,52;0,59;.;0,66;0,74;0,83;0,9;.;1,12;1,22;1,34;1,59;.;3,1;3,8;4,31;5,13;6,46;10,89;39,36;218,12;393,78;545,28;744,45;953,12;1230,01;1641,66;1977,19
gospodarstwa 5-osobowe;zł;.;0,34;0,34;0,42;0,43;0,45;0,41;0,45;0,46;0,46;0,48;0,51;0,53;0,55;0,57;.;0,7;0,78;0,84;0,93;.;1,13;1,26;1,38;1,63;.;3,42;3,96;4,5;5,36;6,74;11,62;43,48;228,58;400,8;562,05;777,95;1006,55;1256,95;1697,1;1948,16
gospodarstwa 6-osobowe i większe;zł;.;0,34;0,43;0,4;0,5;0,44;0,43;0,44;0,5;0,5;0,5;0,54;0,54;0,54;0,72;.;0,73;0,87;1;1,03;.;1,15;1,19;1,4;1,68;.;3,69;4,31;4,9;5,86;7,01;12,3;42,89;238,12;442,46;580,83;862,81;1092,2;1322,23;1696,6;2200,11
Przeciętne miesięczne wydatki na 1 gospodarstwo domowe pracowników użytkujących gospodarstwo rolne;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,52;0,6;0,66;0,74;.;0,9;1;1,09;1,35;2,51;3,12;3,58;4,15;4,84;6,14;10,39;38,57;206,39;346,54;483,32;677,56;883,8;1070,86;1354,72;1591,77
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,36;0,43;0,45;0,54;.;0,59;0,68;0,76;0,97;0,87;2,06;2,37;2,99;3,43;4,21;6,9;24,99;136,85;228,11;322,71;514,52;591,9;738,69;1023,38;1256,99
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,43;0,53;0,58;0,64;.;0,76;0,88;0,99;1,13;2,16;2,57;2,98;3,53;4,13;5,26;8,87;32,14;169,84;297,63;420,03;587,91;782,79;874,31;1173,94;1424,14
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,5;0,58;0,66;0,72;.;0,89;0,99;1,09;1,31;2,38;3,09;3,65;4;4,76;6,04;10,27;38,03;203,11;338,16;472,24;617,29;797,84;1031,89;1274,56;1530,35
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,55;0,64;0,7;0,77;.;0,94;1,01;1,11;1,46;2,63;3,26;3,75;4,23;5,02;6,39;10,98;41,28;220,2;349,87;490,2;670,44;921,5;1123,93;1385,94;1675,7
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,6;0,69;0,77;0,85;.;1,06;1,18;1,26;1,58;3,08;3,79;4,26;5,03;5,82;7,49;12,59;48,21;251,25;409,38;554,35;793,29;1020,06;1225,91;1544,78;1854,14
Przeciętne miesięczne wydatki na 1 gospodarstwo domowe rolników;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,4;0,45;0,49;0,54;.;0,78;0,84;0,89;1,08;2,13;2,87;3,32;3,77;4,27;5,43;9,6;37,75;185,4;285,85;407,53;624,27;777,96;963,02;1229,66;1444,47
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,15;0,16;0,16;0,19;.;0,28;0,3;0,33;0,39;0,77;1,08;1,18;1,3;1,64;2,21;3,48;13,52;73,59;120,89;198,68;258,77;330,83;460,42;493,15;550,72
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,27;0,31;0,34;0,37;.;0,48;0,54;0,59;0,72;1,41;1,91;2,15;2,5;2,91;3,77;6,13;22,75;125,31;195,78;260,26;437,17;534,26;682,56;830,41;950,12
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,39;0,43;0,49;0,53;.;0,77;0,83;0,86;1,04;2,02;2,65;3,01;3,65;4,2;5,43;9,23;37,41;176,9;264,62;390,73;548,62;714,48;834,81;1106,97;1362,89
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,5;0,54;0,59;0,64;.;0,8;0,9;1,05;1,24;2,45;3,37;3,75;4,38;5,07;6,39;11,61;44,53;211,05;325,4;431,1;673,78;791,64;1019,97;1197,14;1550,76
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,53;0,59;0,65;0,7;.;0,98;1,05;1,1;1,33;2,81;3,37;4,07;4,76;5,55;7;12,51;50,14;224,81;345,68;485,03;682,16;856,3;1069,16;1353,9;1653,83
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,58;0,63;0,73;0,83;.;1,08;1,18;1,24;1,57;3,06;4,42;5,03;5,29;6,16;7,92;13,9;55,16;277,39;388,78;531,09;789,31;953,3;1239,52;1708,89;1784,06
Przeciętne miesięczne wydatki na 1 gospodarstwo domowe pracujących na rachunek własny;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;824,65;1107,21;1361,84;1696,05;1969
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;576,23;631,71;774,48;1024,27;1343,8
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;713,68;939,82;1390,54;1512,76;1983,25
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;788,17;1081,68;1273,11;1691,97;1912,27
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;878,14;1165,48;1442,32;1791,27;2090,02
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;840,05;1080,55;1389,66;1621,56;1943,18
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;892,84;1109,03;1433,21;1878,16;2169,7
Przeciętne miesięczne wydatki na 1 gospodarstwo domowe emerytów i rencistów;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,22;0,24;0,26;0,28;.;0,4;0,45;0,49;0,57;1;1,3;1,56;1,84;2,15;2,89;4,67;15,16;88,46;177,38;259,88;408,07;532,66;665,98;837,81;998,26
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,15;0,16;0,18;0,19;.;0,26;0,29;0,31;0,38;0,65;0,79;0,94;1,12;1,34;1,78;2,95;9,42;56,26;109,3;162,15;258,23;327,85;422,83;526,16;629,43
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,25;0,28;0,31;0,34;.;0,43;0,49;0,55;0,64;1,16;1,43;1,71;2,01;2,42;3,28;5,36;16,95;100,38;197,5;291,91;424,46;564,4;723,15;901,64;1102,15
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,41;0,46;0,5;0,75;.;0,7;0,81;0,88;0,99;1,78;2,11;2,56;3,01;3,54;4,53;7,29;24,88;141,36;273,59;356,28;503,11;662,46;841,69;1055,72;1270,45
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;546,77;735,76;901,78;1136,38;1340,73
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;557,64;739,6;941,06;1193,26;1374,44
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;609,98;756,71;1063,92;1289,74;1533,43
Przeciętne miesięczne wydatki na 1 gospodarstwo domowe emerytów;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1064,71
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;642,08
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1169,33
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1404,86
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1549,52
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1572,65
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1670,53
Przeciętne miesięczne wydatki na 1 gospodarstwo domowe rencistów;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;881,58
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;610,71
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;914,61
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1081,57
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1166,08
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1240,92
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1395,79
Przeciętne miesięczne wydatki na 1 gospodarstwo domowe utrzymujące się z niezarobkowych źródeł;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;357,5;463,61;573,74;702,7;837,22
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;205,33;298,33;335,66;457,43;605,59
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;326,88;402,44;521,05;615,57;811,04
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;355,14;463,41;563,73;720,8;854,83
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;387,78;485,76;603,4;762,34;918,07
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;396,06;527,9;666,09;812,15;890,11
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;442,73;620,1;764,97;884,44;988,65
Przeciętne miesięczne wydatki na 1 osobę w gospodarstwie domowym pracowników;zł;0,08;0,08;0,08;0,09;0,09;0,1;0,1;0,1;0,11;0,11;0,11;0,12;0,13;0,13;0,14;.;0,15;0,17;0,19;0,21;.;0,26;0,29;0,32;0,38;0,65;0,75;0,89;1,02;1,2;1,5;2,57;9,33;48,87;87,97;123,35;168,01;216,92;274,93;355,29;435,61
gospodarstwa 1-osobowe;zł;.;0,16;0,17;0,17;0,18;0,19;0,19;0,2;0,2;0,19;0,19;0,21;0,22;0,22;0,23;.;0,28;0,31;0,33;0,36;.;0,47;0,54;0,58;0,74;1,1;1,32;1,67;1,95;2,31;2,98;5,02;17,59;95,53;175,79;256,61;364,8;480,84;623,25;843,02;1019,03
gospodarstwa 2-osobowe;zł;.;0,11;0,12;0,12;0,13;0,13;0,14;0,15;0,16;0,14;0,15;0,16;0,17;0,17;0,18;.;0,21;0,23;0,26;0,28;.;0,36;0,39;0,45;0,53;0,87;1,04;1,24;1,44;1,71;2,14;3,57;12,97;69,34;130,32;186,66;267,1;350,71;427,94;570,87;708,83
gospodarstwa 3-osobowe;zł;.;0,09;0,09;0,1;0,11;0,11;0,11;0,12;0,12;0,12;0,13;0,13;0,14;0,15;0,15;.;0,18;0,2;0,22;0,24;.;0,3;0,34;0,37;0,44;0,73;0,87;1,03;1,19;1,41;1,77;3,04;11,08;57,42;104,44;150,5;201,96;260,65;332,88;419,43;508,7
gospodarstwa 4-osobowe;zł;.;0,07;0,08;0,08;0,09;0,09;0,09;0,1;0,1;0,1;0,1;0,11;0,12;0,12;0,13;.;0,14;0,16;0,19;0,2;.;0,25;0,27;0,3;0,36;0,62;0,71;0,86;0,97;1,15;1,44;2,47;8,95;47,11;84,2;117,03;156,01;201,71;257,29;330,03;399,92
gospodarstwa 5-osobowe;zł;.;0,06;0,06;0,07;0,07;0,08;0,08;0,08;0,08;0,08;0,09;0,09;0,1;0,1;0,11;.;0,12;0,14;0,15;0,16;.;0,2;0,22;0,24;0,29;0,53;0,61;0,7;0,81;0,94;1,17;2,04;7,42;38,37;67,73;93,93;124,72;162,49;207,88;267,71;310,63
gospodarstwa 6-osobowe i większe;zł;.;0,05;0,05;0,06;0,06;0,06;0,06;0,06;0,07;0,07;0,07;0,08;0,08;0,08;0,09;.;0,1;0,11;0,12;0,14;.;0,17;0,18;0,2;0,25;0,48;0,51;0,6;0,68;0,79;0,96;1,67;5,87;31,14;56,21;72,06;104,22;129,78;160,24;206,35;249
na towary i usługi konsumpcyjne;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;162,34;208,42;263,69;341,24;416,48
na żywność;zł;0,04;0,04;0,04;0,04;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,06;0,06;0,06;0,06;.;0,06;0,07;0,08;0,08;.;0,1;0,11;0,12;0,14;0,31;0,35;0,41;0,48;0,55;0,66;1,05;4,27;23,48;36,98;48,11;65,63;81,58;102,71;125,56;145,64
przetwory zbożowe, pieczywo i wyroby ciastkarskie;zł;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,02;0,03;0,03;0,03;0,04;0,05;0,05;0,08;0,35;2,78;3,74;5,46;8,11;9,3;12,14;16,66;19,41
ziemniaki;zł;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0;0;0;0;.;0;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,13;0,38;0,77;1,76;1,61;2,25;4,15;2,99;2,91
strączkowe, warzywa, grzyby i przetwory;zł;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0;0;0,01;0,01;.;0,01;0,01;0,01;0,02;0,03;0,03;0,04;0,05;0,05;0,07;0,1;0,34;1,65;2,79;3,76;5,73;6,93;7,87;9,67;11,52
owoce i przetwory;zł;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,03;0,03;0,05;0,09;0,29;1,53;2,62;3,07;3,96;4,9;6,37;8,3;9,8
mięso, podroby i przetwory;zł;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;.;0,02;0,02;0,02;0,02;.;0,03;0,03;0,03;0,03;0,1;0,11;0,13;0,15;0,17;0,2;0,31;1,56;9,4;13,6;16,28;21,23;26,96;31,51;37,43;42,54
ryby i przetwory rybne;zł;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0;0;0;0;.;0;0;0;0;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,1;0,53;1;1,23;1,61;1,92;2,32;2,96;3,61
tłuszcze jadalne;zł;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,02;0,03;0,03;0,04;0,05;0,06;0,08;0,38;1,51;2,25;2,88;3,82;5,04;6,42;7,39;8,33
nabiał i jaja;zł;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,02;0,05;0,05;0,05;0,06;0,06;0,07;0,11;0,39;2,19;4,25;5,89;8,76;10,44;13,08;16,76;19,24
cukier, wyroby cukiernicze i miód;zł;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0;0;0,01;0,01;.;0,01;0,01;0,01;0,01;0,02;0,02;0,03;0,03;0,04;0,05;0,09;0,34;1,82;2,65;3,33;4,14;4,79;6,41;8,05;8,61
używki, przyprawy i pozostałe towary żywnościowe;zł;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0;0;0,01;0,01;.;0,01;0,01;0,01;0,01;0,02;0,02;0,03;0,04;0,05;0,06;0,1;0,29;1,21;2,33;3,34;5;7,1;10,11;12,37;15,49
żywienie w placówkach gastronomicznych;zł;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;.;0;0;0;0,01;.;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,03;0,1;0,47;0,97;1,11;1,66;1,94;2,33;2,98;4,18
na napoje alkoholowe;zł;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0;0;0,01;0,01;.;0,01;0,01;0,01;0,01;0,03;0,03;0,03;0,03;0,03;0,04;0,07;0,25;0,9;1,59;1,78;2,04;2,5;3,16;3,97;4,88
na towary nieżywnościowe i usługi;zł;0,04;0,04;0,04;0,04;0,05;0,05;0,05;0,05;0,06;0,05;0,06;0,06;0,07;0,07;0,07;.;0,08;0,1;0,11;0,12;.;0,15;0,17;0,19;0,23;0,31;0,37;0,45;0,51;0,62;0,79;1,45;4,81;24,49;49,4;73,46;94,67;124,35;157,82;211,71;265,96
na towary nieżywnościowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;48;63,79;80,35;113,91;142,14
na usługi;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;46,67;60,56;77,47;97,8;123,82
na wyroby tytoniowe;zł;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0;0;0;0;.;0;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,03;0,12;0,68;1,39;2,05;2,92;3,47;5,23;7,45;9,3
na odzież i obuwie;zł;0,02;0,02;0,02;0,01;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;.;0,03;0,03;0,03;0,03;.;0,04;0,04;0,05;0,07;0,08;0,1;0,12;0,14;0,17;0,22;0,43;1,57;5,5;9,18;10,1;12,58;16,36;20,66;26,23;32,55
na mieszkanie;zł;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,02;.;0,02;0,03;0,03;0,03;.;0,04;0,05;0,05;0,06;0,08;0,1;0,12;0,14;0,17;0,21;0,37;1,15;6,39;14,1;23,53;32,16;44,76;56,69;74,71;95,55
na utrzymanie mieszkania;zł;0;0;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,01;0,01;0,02;0,02;.;0,02;0,02;0,02;0,03;0,04;0,04;0,05;0,06;0,08;0,1;0,18;0,47;3,54;9,52;17,75;25,77;35,77;45,85;60,23;75,28
opłaty za najem mieszkania;zł;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0;0;0;0;.;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,03;0,05;0,13;1,05;2,8;4,92;4,65;5,35;8,26;11,41;15,62
zimna woda;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1,78;2,59;3,39;4,19;5,25
opał;zł;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0;0;0;0;.;0;0;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,06;0,4;1,05;1,46;1,79;2,13;2,95;4,42;4,93
centralne ogrzewanie i ciepła woda;zł;.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0;0;0;0;.;0;0;0;0;0;0;0;0,01;0,01;0,01;0,02;0,03;0,32;1,11;3,22;6,27;10,44;13,6;15,66;19,68
energia elektryczna i gaz;zł;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0;0;0;0;.;0;0;0;0;0,01;0,01;0,01;0,01;0,02;0,02;0,04;0,08;0,99;2,99;5,58;7,48;9,57;12;14,64;16,78
na wyposażenie mieszkania;zł;0;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,01;0,01;0,02;0,02;.;0,02;0,03;0,03;0,03;0,04;0,06;0,07;0,08;0,09;0,11;0,19;0,69;2,85;4,57;5,79;6,39;8,99;10,84;14,47;20,26
na naukę;zł;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0;0;0;0;.;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,03;0,04;0,12;0,81;2,02;3,02;3,72;5,26;6,91;8,58;10,96
na zdrowie;zł;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0;0;0;0;.;0;0;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,06;0,44;1,27;2,29;4,56;6,24;7,75;10,34;12,81
na higienę osobistą;zł;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0;0;0;0,01;.;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,03;0,04;0,06;0,19;1,15;2,39;3,78;6,02;7,33;9,26;11,95;15,24
