﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Spożycie mięsa, podrobów i tłuszczów w wadze schłodzonej;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1 990 200;2 096 800;2 221 700;2 351 600;2 486 700;2 671 900;2 680 300;2 684 400;2 756 800;2 866 200;2 921 500;2 595 000;2 366 000;2 391 000;2 348 000;2 505 000;2 765 000;2 801 000;2 881 000;2 915 000;2 929 000;3 126 000;3 043 000;2 924 000;2 697 000;2 725 000;2 774 000;2 645 000;2 771 000
mięsa i podrobów;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1 724 400;1 841 900;1 962 100;2 070 400;2 210 300;2 393 300;2 405 300;2 396 400;2 473 300;2 574 400;2 633 300;2 334 000;2 121 000;2 132 000;2 113 000;2 242 000;2 474 000;2 513 000;2 584 000;2 605 000;2 616 000;2 797 000;2 698 000;2 602 000;2 412 000;2 448 000;2 498 000;2 387 000;2 502 000
mięsa;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1 583 600;1 704 700;1 824 300;1 927 500;2 038 900;2 224 700;2 230 800;2 232 600;2 297 100;2 395 000;2 460 700;2 192 000;1 964 000;1 982 000;1 958 000;2 076 000;2 290 000;2 331 000;2 404 000;2 434 000;2 429 000;2 610 000;2 527 000;2 446 000;2 256 000;2 292 000;2 331 000;2 217 000;2 325 000
wołowe;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;410 000;410 400;359 800;383 900;440 600;527 500;700 400;692 700;606 400;604 400;658 900;558 000;523 000;580 000;585 000;604 000;633 000;628 000;657 000;620 000;624 000;595 000;483 000;440 000;347 000;336 000;331 000;320 000;313 000
wieprzowe;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;950 900;1 074 800;1 235 000;1 294 800;1 326 100;1 389 800;1 183 600;1 163 700;1 275 400;1 339 300;1 324 400;1 140 000;1 154 000;1 125 000;1 037 000;1 116 000;1 282 000;1 325 000;1 379 000;1 433 000;1 433 000;1 604 000;1 617 000;1 565 000;1 434 000;1 508 000;1 548 000;1 366 000;1 455 000
drobiowe;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;112 500;115 700;132 600;154 500;177 000;212 900;260 800;307 000;339 700;379 900;399 300;419 000;200 000;192 000;250 000;262 000;286 000;307 000;307 000;320 000;292 000;313 000;348 000;363 000;408 000;393 000;393 000;480 000;508 000
pozostałe;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;110 200;103 800;96 900;94 300;95 200;94 500;86 000;69 200;75 600;71 400;78 100;75 000;87 000;85 000;86 000;94 000;89 000;71 000;61 000;61 000;80 000;98 000;79 000;78 000;67 000;55 000;59 000;51 000;49 000
podrobów;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;140 800;137 200;137 800;142 900;171 400;168 600;174 500;163 800;176 200;179 400;172 600;142 000;157 000;150 000;155 000;166 000;184 000;182 000;180 000;171 000;187 000;187 000;171 000;156 000;156 000;156 000;167 000;170 000;177 000
tłuszczów z ubojów;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;265 800;254 900;259 600;281 200;276 400;278 600;275 000;288 000;283 500;291 800;288 200;261 000;245 000;259 000;235 000;263 000;291 000;288 000;297 000;310 000;313 000;329 000;345 000;322 000;285 000;277 000;276 000;258 000;269 000
Produkcja mleka;tys. l;3 300 000;4 000 000;5 100 000;7 142 000;7 760 000;8 670 000;8 826 200;9 022 100;9 332 600;9 615 000;9 978 800;10 721 300;11 514 000;11 944 300;12 123 700;12 386 900;12 486 100;12 272 800;12 225 300;12 942 600;13 807 200;14 058 000;14 201 900;14 313 900;14 498 600;14 691 500;15 290 900;15 754 600;16 165 600;15 882 700;16 022 700;16 420 000;16 606 900;16 448 700;16 000 036;14 880 284;14 832 947;15 612 507;16 243 093;15 954 615;15 318 042;15 079 393;15 176 684;15 926 186;15 371 303;14 021 803;12 770 070;12 271 287;11 866 321;11 303 296;11 355 132;11 770 226;12 228 990
gospodarstwa państwowe;tys. l;.;.;.;.;392 500;525 900;584 500;642 900;736 100;827 300;902 200;991 800;1 045 600;1 108 200;1 195 200;1 273 400;1 262 200;1 196 400;1 257 500;1 402 900;1 473 700;1 512 300;1 589 600;1 621 400;1 662 500;1 677 100;1 739 600;1 873 000;1 988 700;1 973 000;2 049 300;2 162 131;2 207 100;2 182 000;2 157 310;1 941 228;1 873 773;2 053 536;2 168 826;2 143 229;2 124 835;2 137 857;2 176 521;2 197 246;2 011 420;1 684 989;1 295 065;889 099;591 776;434 454;401 660;383 155;377 023
spółdzielnie produkcji rolniczej;tys. l;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;269 026;243 573;235 273;263 527;266 663;254 701;238 862;233 315;229 535;229 840;205 981;178 631;162 322;139 268;129 849;119 606;120 144;116 911;110 468
spółdzielnie produkcyjne;tys. l;.;.;.;.;41 100;189 300;251 000;431 200;569 100;659 700;103 900;91 900;95 800;107 700;113 200;117 000;108 900;101 700;106 600;116 600;125 900;127 800;128 300;127 300;131 600;132 000;139 100;148 300;153 500;155 300;170 400;195 113;226 000;241 000;259 978;238 200;231 340;258 757;261 129;251 652;236 732;231 628;227 911;228 117;204 082;174 966;.;.;.;.;.;.;.
kółka rolnicze;tys. l;.;.;.;.;—;—;—;—;—;—;—;—;—;—;—;100;1100;1700;2900;5000;5600;5600;5100;4800;5100;5000;4600;5200;5100;4600;6800;9404;12 500;12 500;9048;5373;3933;4770;5534;3049;2130;1687;1624;1723;1899;3665;.;.;.;.;.;.;.
gospodarstwa indywidualne;tys. l;.;.;.;.;7 326 400;7 954 800;7 990 700;7 948 000;8 027 400;8 128 000;8 972 700;9 637 600;10 372 600;10 728 400;10 815 300;10 996 400;11 113 900;10 973 000;10 858 300;11 418 100;12 202 000;12 412 300;12 478 900;12 560 400;12 699 400;12 877 400;13 407 600;13 728 100;14 018 300;13 749 800;13 796 200;14 053 352;14 161 300;14 013 200;13 573 700;12 695 483;12 723 901;13 295 444;13 807 604;13 556 685;12 954 345;12 708 221;12 770 628;13 499 100;13 153 902;12 158 183;11 304 920;11 139 670;10 945 644;10 496 677;10 543 315;10 956 424;11 455 839
pozostałe formy własności;tys. l;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;7763;103 250;199 052;252 559;290 013;313 736;285 660
Produkcja jaj;tys. szt.;1 100 000;2 197 000;2 975 000;3 200 000;3 400 000;3 600 000;3 806 700;3 953 000;4 078 900;4 159 500;4 252 500;4 331 500;4 553 000;5 126 600;5 588 800;6 141 000;6 091 900;5 751 300;6 000 300;6 263 800;6 252 600;6 348 000;6 314 500;6 699 500;6 940 500;7 079 900;7 474 700;7 437 200;7 871 400;8 012 900;8 019 800;8 494 322;8 531 200;8 669 600;8 901 444;8 815 625;7 633 415;7 641 518;8 201 800;8 635 696;8 303 658;7 966 179;8 220 091;8 031 614;7 596 676;6 507 789;6 115 453;5 580 891;5 793 336;6 308 093;7 055 616;7 660 854;7 275 690
gospodarstwa państwowe;tys. szt.;.;.;.;5100;13 000;27 200;36 600;36 900;34 500;37 500;40 400;231 400;216 600;257 200;286 000;293 900;319 400;319 000;329 900;333 100;334 900;338 600;353 600;369 900;385 300;352 900;349 300;362 000;416 000;394 300;388 998;416 332;409 300;464 789;490 216;450 499;647 454;778 576;828 561;902 871;904 358;896 314;837 374;826 068;818 846;713 338;600 313;503 850;559 794;498 976;314 614;225 447;.
spółdzielnie produkcji rolniczej;tys. szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;234 055;297 249;342 820;461 237;778 624;831 235;908 487;935 721;1 009 573;887 241;887 263;862 486;756 637;627 801;711 853;773 957;730 736;771 571;627 563;.
spółdzielnie produkcyjne;tys. szt.;.;.;.;—;—;—;—;—;—;—;—;26 900;27 100;33 400;37 800;36 400;35 500;35 400;35 700;36 000;35 500;37 900;37 800;39 600;40 600;40 800;45 900;53 700;64 900;65 400;96 930;134 656;158 700;207 836;282 266;296 350;430 776;734 331;804 395;863 670;902 320;958 077;862 050;854 754;832 124;.;.;.;.;.;.;.;.
kółka rolnicze;tys. szt.;.;.;.;—;—;—;—;—;—;—;—;—;—;—;—;1000;1100;2500;3700;700;900;1100;1300;1200;900;1000;1500;1500;2600;7700;12 693;11 649;12 600;26 219;14 983;46 470;30 461;44 293;26 840;44 817;33 401;51 496;25 191;32 509;30 362;.;.;.;.;.;.;.;.
gospodarstwa indywidualne;tys. szt.;.;.;.;3 394 900;3 587 000;3 779 500;3 916 400;4 042 000;4 125 000;4 215 000;4 291 100;4 294 700;4 882 900;5 298 200;5 817 200;5 760 600;5 395 300;5 643 400;5 894 500;5 882 800;5 976 700;5 936 900;6 306 800;6 529 800;6 653 100;7 080 000;7 040 500;7 454 200;7 529 400;7 552 400;7 995 701;7 968 563;8 089 000;8 202 600;8 028 160;6 840 096;6 532 827;6 644 600;6 975 900;6 492 300;6 126 100;6 314 204;6 306 999;5 883 345;4 826 457;4 617 817;4 300 556;4 472 084;4 732 747;5 463 217;6 095 939;6 049 485;.
pozostałe formy własności;tys. szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;27 661;52 221;105 549;241 595;362 687;478 730;373 195;.
Produkcja wełny;kg;950 000;1 500 000;1 800 000;3 080 000;4 396 000;5 148 000;5 702 600;6 565 600;8 932 800;9 842 600;9 762 000;9 291 000;8 988 800;9 162 000;9 041 600;8 778 300;8 162 600;7 273 300;7 368 000;7 500 000;8 015 900;8 594 000;8 849 200;8 885 100;8 939 100;9 062 600;8 963 000;8 634 000;8 999 000;9 450 000;10 562 000;12 324 300;12 802 300;13 584 800;12 724 900;11 186 800;12 481 500;13 213 000;15 343 881;17 143 400;17 699 271;17 252 461;16 405 972;15 943 484;14 783 029;10 737 901;6 595 782;4 172 065;3 101 066;2 322 515;1 963 151;1 733 076;1 475 389
gospodarstwa państwowe;kg;.;.;.;.;383 500;563 400;681 400;874 800;1 091 900;1 109 200;1 026 700;986 300;957 300;946 200;1 030 200;1 041 700;1 049 200;1 048 800;1 084 200;1 206 100;1 176 800;1 408 400;1 348 700;1 462 800;1 519 800;1 592 500;1 570 600;1 742 000;1 871 000;2 323 900;2 646 300;3 073 100;3 358 300;3 796 600;4 037 000;3 473 700;3 661 600;3 747 000;4 330 240;5 118 500;5 162 671;5 237 416;4 879 725;4 879 234;4 453 799;3 051 238;1 515 606;679 664;386 489;263 765;181 377;158 609;126 563
spółdzielnie produkcji rolniczej;kg;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1 364 800;1 105 100;1 074 300;1 011 000;1 201 101;1 202 900;1 200 764;1 174 157;1 054 879;994 648;818 353;544 566;284 309;174 250;118 635;94 428;59 567;53 898;33 226
spółdzielnie produkcyjne;kg;.;.;.;.;18 800;136 400;225 500;535 500;857 500;1 111 300;155 600;122 500;113 900;123 600;135 100;111 500;87 400;77 500;91 800;88 600;99 200;99 000;97 000;100 700;108 600;121 900;128 300;137 000;170 500;233 600;401 000;639 800;798 500;976 800;985 000;908 500;914 100;892 000;1 092 763;1 099 100;1 091 825;1 083 192;973 510;924 576;760 838;497 618;.;.;.;.;.;.;.
kółka rolnicze;kg;.;.;.;.;—;—;—;—;—;—;—;—;—;—;—;2400;7000;9600;9900;11 600;15 400;17 600;18 000;17 600;21 300;28 200;35 600;51 000;76 000;131 800;247 500;480 400;461 900;457 100;379 800;196 600;160 200;119 000;108 338;103 800;108 939;90 965;81 369;70 072;57 515;46 948;.;.;.;.;.;.;.
gospodarstwa indywidualne;kg;.;.;.;.;3 993 700;4 448 200;4 795 700;5 155 300;6 983 400;7 622 100;8 579 700;8 182 200;7 917 600;8 092 200;7 876 300;7 622 700;7 019 000;6 137 400;6 182 100;6 193 700;6 724 500;7 069 000;7 385 500;7 304 000;7 289 400;7 320 000;7 228 500;6 704 000;6 881 500;6 760 700;7 267 200;8 131 000;8 183 600;8 354 300;7 323 100;6 608 000;7 745 600;8 455 000;9 812 540;10 822 000;11 335 836;10 840 888;10 471 368;10 069 602;9 510 877;7 142 097;4 766 533;3 179 050;2 400 323;1 767 882;1 598 215;1 425 242;1 254 039
pozostałe formy własności;kg;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;29 334;139 101;195 619;196 440;123 992;95 327;61 561
Produkcja miodu;kg;.;.;.;.;2 530 400;2 654 000;2 878 000;2 853 200;2 863 700;3 564 500;2 953 200;3 398 200;.;.;3 300 000;3 576 200;3 966 000;.;6 402 400;6 227 900;7 109 000;8 360 000;8 360 000;6 846 800;9 000 000;10 346 000;10 000 000;10 500 000;6 500 000;8 000 000;13 048 000;11 221 000;14 214 700;14 572 800;8 906 000;12 189 000;19 362 200;25 997 300;18 018 000;14 809 100;18 011 100;12 965 000;14 067 000;13 500 000;13 794 000;14 056 000;12 891 000;10 728 000;9 292 000;10 459 000;9 256 000;9 073 000;9 346 000
gospodarstwa państwowe;kg;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;262 000;446 500;466 000;430 000;430 000;338 100;501 000;493 000;464 700;432 000;230 000;222 600;294 000;505 000;211 500;198 600;137 600;149 300;134 000;199 100;199 500;130 500;201 100;179 000;200 000;193 000;170 000;160 000;65 000;48 000;36 000;30 000;15 000;15 000;10 000
spółdzielnie produkcji rolniczej;kg;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;117 800;127 700;51 400;38 200;29 500;26 200;38 100;29 000;31 000;27 000;24 000;23 000;23 000;12 000;3000;10 000;8000;7000;6000
spółdzielnie produkcyjne;kg;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;26 400;32 100;33 000;33 000;33 000;26 200;40 000;40 000;42 000;45 000;27 000;21 000;45 000;56 000;25 900;27 000;21 800;23 500;42 500;30 000;22 500;23 400;33 200;26 000;28 000;26 000;21 000;21 000;.;.;.;.;.;.;.
kółka rolnicze;kg;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;—;—;—;—;—;—;—;—;—;—;—;118 000;160 000;125 200;120 000;96 000;104 200;8900;8200;7000;2800;4900;3000;3000;1000;3000;2000;.;.;.;.;.;.;.
gospodarstwa indywidualne;kg;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;6 114 000;5 749 300;6 610 000;7 897 000;7 897 000;6 482 500;8 459 000;9 813 000;9 493 300;10 023 000;6 243 000;7 756 400;12 591 000;10 500 000;13 852 100;14 227 200;8 650 600;11 912 000;19 176 800;25 760 000;17 789 000;14 652 400;17 771 900;12 757 000;13 836 000;13 280 000;13 600 000;13 872 000;12 800 000;10 664 000;9 246 000;10 412 000;9 231 000;9 044 000;9 324 000
pozostałe formy własności;kg;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1000;3000;4000;7000;7000;2000;7000;6000
Połowy ryb słodkowodnych;kg;.;11 600 000;13 500 000;14 200 000;14 900 000;15 700 000;16 300 000;18 000 000;18 500 000;19 600 000;16 700 000;13 100 000;17 300 000;18 400 000;18 667 020;18 351 000;18 189 500;20 705 500;23 871 900;20 776 400;21 600 000;22 776 500;25 945 800;24 632 200;21 563 900;23 351 900;26 514 900;28 604 300;27 916 000;30 733 000;32 899 000;34 453 000;26 934 000;27 429 200;26 661 000;31 142 000;36 488 900;42 641 900;45 402 400;38 265 900;41 892 900;42 176 600;46 903 300;48 900 000;48 900 000;51 300 000;33 100 000;34 200 000;41 000 000;37 000 000;38 000 000;38 000 000;39 900 000
